year,return_year,year_profit,ticker
2011,0.0693,693.0,IBM
2012,0.0292,292.0,IBM
2013,0.0,0.0,IBM
2014,0.0,0.0,IBM
2015,-0.1548,-1548.0,IBM
2016,0.0446,446.0,IBM
2017,0.0187,187.0,IBM
2018,-0.139,-1390.0,IBM
2019,0.0455,455.0,IBM
2020,-0.0991,-991.0,IBM
2000,-0.0502,-502.0,INTC
2001,-0.1167,-1167.0,INTC
2002,-0.0818,-818.0,INTC
2003,0.2424,2424.0,INTC
2004,-0.11,-1100.0,INTC
2005,0.0436,436.0,INTC
2006,-0.1049,-1049.0,INTC
2007,0.0563,563.0,INTC
2008,0.0777,777.0,INTC
2009,0.1164,1164.0,INTC
2010,0.0417,417.0,INTC
2011,0.0906,906.0,INTC
2012,-0.0843,-843.0,INTC
2013,0.0428,428.0,INTC
2014,0.1024,1024.0,INTC
2015,0.1062,1062.0,INTC
2016,0.0635,635.0,INTC
2017,0.0504,504.0,INTC
2018,0.0483,483.0,INTC
2019,0.0941,941.0,INTC
2020,0.0338,338.0,INTC
2000,0.0728,728.0,JNJ
2001,0.0755,755.0,JNJ
2002,0.1457,1457.0,JNJ
2003,0.0381,381.0,JNJ
2004,0.0659,659.0,JNJ
2005,0.013,130.0,JNJ
2006,0.0409,409.0,JNJ
2007,0.0,0.0,JNJ
2008,0.0477,477.0,JNJ
2009,0.113,1130.0,JNJ
2010,0.0,0.0,JNJ
2011,0.0,0.0,JNJ
2012,0.0277,277.0,JNJ
2013,0.0666,666.0,JNJ
2014,0.0383,383.0,JNJ
2015,0.0,0.0,JNJ
2016,0.0808,808.0,JNJ
2017,0.0289,289.0,JNJ
2018,0.0515,515.0,JNJ
2019,0.035,350.0,JNJ
2020,0.0498,498.0,JNJ
2000,0.3257,3257.0,JPM
2001,-0.0517,-517.0,JPM
2002,-0.1033,-1033.0,JPM
2003,0.1336,1336.0,JPM
2004,0.0398,398.0,JPM
2005,0.0,0.0,JPM
2006,0.0715,715.0,JPM
2007,0.0259,259.0,JPM
2008,0.0068,68.0,JPM
2009,-0.0218,-218.0,JPM
2010,0.0518,518.0,JPM
2011,-0.0467,-467.0,JPM
2012,0.1991,1991.0,JPM
2013,0.073,730.0,JPM
2014,0.03,300.0,JPM
2015,0.0263,263.0,JPM
2016,0.0972,972.0,JPM
2017,0.0567,567.0,JPM
2018,0.0144,144.0,JPM
2019,0.0955,955.0,JPM
2020,-0.1062,-1062.0,JPM
2000,0.1853,1853.0,KO
2001,0.0,0.0,KO
2002,0.1017,1017.0,KO
2003,-0.0858,-858.0,KO
2004,0.0128,128.0,KO
2005,0.0,0.0,KO
2006,0.0,0.0,KO
2007,0.0906,906.0,KO
2008,0.0,0.0,KO
2009,-0.0795,-795.0,KO
2010,0.0271,271.0,KO
2011,0.0275,275.0,KO
2012,0.0257,257.0,KO
2013,0.0172,172.0,KO
2014,0.0135,135.0,KO
2015,0.0,0.0,KO
2016,0.0135,135.0,KO
2017,0.0,0.0,KO
2018,0.0136,136.0,KO
2019,0.0258,258.0,KO
2020,0.0986,986.0,KO
2000,0.1866,1866.0,LLY
2001,0.0,0.0,LLY
2002,0.0176,176.0,LLY
2003,0.1126,1126.0,LLY
2004,-0.1142,-1142.0,LLY
2005,0.0132,132.0,LLY
2006,0.0351,351.0,LLY
2007,0.0,0.0,LLY
2008,-0.1193,-1193.0,LLY
2009,-0.054,-540.0,LLY
2010,0.0,0.0,LLY
2011,0.0275,275.0,LLY
2012,0.0621,621.0,LLY
2013,0.0262,262.0,LLY
2014,0.1036,1036.0,LLY
2015,0.0517,517.0,LLY
2016,0.0,0.0,LLY
2017,0.0375,375.0,LLY
2018,0.0731,731.0,LLY
2019,0.0767,767.0,LLY
2020,0.0952,952.0,LLY
2000,0.1696,1696.0,LMT
2001,0.1091,1091.0,LMT
2002,0.1106,1106.0,LMT
2003,-0.1133,-1133.0,LMT
2004,0.0779,779.0,LMT
2005,0.0151,151.0,LMT
2006,0.0817,817.0,LMT
2007,0.0548,548.0,LMT
2008,-0.1004,-1004.0,LMT
2009,-0.0513,-513.0,LMT
2010,0.0615,615.0,LMT
2011,0.0,0.0,LMT
2012,0.0629,629.0,LMT
2013,0.1116,1116.0,LMT
2014,0.068,680.0,LMT
2015,0.0419,419.0,LMT
2016,0.0391,391.0,LMT
2017,0.0547,547.0,LMT
2018,0.0556,556.0,LMT
2019,0.0791,791.0,LMT
2020,-0.0606,-606.0,LMT
2000,-0.0352,-352.0,LOW
2001,0.3756,3756.0,LOW
